accession,gtdb_id,superkingdom,phylum,class,order,family,genus,species
DAYA01000023.1,GB_GCA_002506705.1,d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Poseidoniaceae,g__MGIIa-K1,s__MGIIa-K1 sp002506705
NZBD01000001.1,GB_GCA_002687735.1,d__Archaea,p__Iainarchaeota,c__Iainarchaeia,o__Iainarchaeales,f__Iainarchaeaceae,g__UBA493,s__UBA493 sp002687735
NOLC01000103.1,GB_GCA_002256595.1,d__Archaea,p__Halobacterota,c__Methanosarcinia,o__Methanotrichales,f__Methanotrichaceae,g__Methanothrix,s__Methanothrix sp002256595
PBOE01000001.1,GB_GCA_002725275.1,d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Poseidoniaceae,g__Poseidonia,s__Poseidonia sp002725275
NTJT01000001.1,GB_GCA_002457605.1,d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassoarchaeaceae,g__Thalassarchaeum,s__Thalassarchaeum sp002457605
NZ_NEDJ01000100.1,RS_GCF_002114285.1,d__Archaea,p__Halobacterota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halorubrum,s__Halorubrum ezzemoulense
NC_015320.1,RS_GCF_000194625.1,d__Archaea,p__Halobacterota,c__Archaeoglobi,o__Archaeoglobales,f__Archaeoglobaceae,g__Archaeoglobus_C,s__Archaeoglobus_C veneficus
DARI01000017.1,GB_GCA_002503285.1,d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassoarchaeaceae,g__MGIIb-O3,s__MGIIb-O3 sp002503285
ONIK01000151.1,GB_GCA_900317865.1,d__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter_A,s__Methanobrevibacter_A sp900317865
NZ_NSKC01000001.1,RS_GCF_002286985.1,d__Archaea,p__Halobacterota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halorubrum,s__Halorubrum sp002286985
NZ_CP009512.1,RS_GCF_000970205.1,d__Archaea,p__Halobacterota,c__Methanosarcinia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanosarcina,s__Methanosarcina mazei
DAOJ01000015.1,GB_GCA_002502365.1,d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassoarchaeaceae,g__MGIIb-O1,s__MGIIb-O1 sp002502365
NZLM01000001.1,GB_GCA_002694245.1,d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Poseidoniaceae,g__MGIIa-K1,s__MGIIa-K1 sp002694245
NZXM01000023.1,GB_GCA_002701965.1,d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassoarchaeaceae,g__MGIIb-P,s__MGIIb-P sp002701965
LRSK01000001.1,GB_GCA_001563325.1,d__Archaea,p__Asgardarchaeota,c__Lokiarchaeia,o__Thorarchaeales,f__Thorarchaeaceae,g__SMTZ1-83,s__SMTZ1-83 sp001563325
NC_003106.2,RS_GCF_000011205.1,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Sulfolobales,f__Sulfolobaceae,g__Sulfurisphaera,s__Sulfurisphaera tokodaii
LJKK01000055.1,GB_GCA_001421185.1,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomassiliicoccaceae,g__DTU008,s__DTU008 sp001421185
NZ_LN831302.1,RS_GCF_001488575.1,d__Archaea,p__Halobacterota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halobacterium,s__Halobacterium hubeiense
NZ_FZNQ01000070.1,RS_GCF_900188065.1,d__Archaea,p__Halobacterota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halorubrum,s__Halorubrum vacuolatum
DAFH01000027.1,GB_GCA_002495485.1,d__Archaea,p__Crenarchaeota,c__Bathyarchaeia,o__40CM-2-53-6,f__40CM-2-53-6,g__40CM-2-53-6,s__40CM-2-53-6 sp002495485
MOEG01000007.1,GB_GCA_001889985.1,d__Archaea,p__Micrarchaeota,c__Micrarchaeia,o__Micrarchaeales,f__Micrarchaeaceae,g__Micrarchaeum,s__Micrarchaeum acidiphilum
NZ_AOIQ01000001.1,RS_GCF_000337515.1,d__Archaea,p__Halobacterota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Halovivax,s__Halovivax asiaticus
NZ_CP015363.1,RS_GCF_002078355.1,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Thermoplasmataceae,g__Ferroplasma,s__Ferroplasma acidiphilum
DAXT01000009.1,GB_GCA_002506535.1,d__Archaea,p__Halobacterota,c__Methanosarcinia,o__Methanotrichales,f__Methanotrichaceae,g__Methanothrix_A,s__Methanothrix_A harundinacea_B
NZ_FNQT01000009.1,RS_GCF_900107665.1,d__Archaea,p__Halobacterota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloplanus,s__Haloplanus vescus
NC_019977.1,RS_GCF_000328665.1,d__Archaea,p__Halobacterota,c__Methanosarcinia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanomethylovorans,s__Methanomethylovorans hollandica
